Date,nifty_open_close,nifty_returns,dji_returns,gdaxi_returns,hsi_returns,ixic_returns,n225_returns,vix_returns
2017-01-06,0.9943013590882647,1.017029542610337,-0.21497718107816866,0.005445809015824921,1.4557327994046299,0.1997433157978845,-0.3749622466036939,-1.5189898681965852
2017-01-09,1.0046155663151675,-0.36259035398709116,0.32419107309502593,0.12144504344144824,0.20626509796417558,0.6035072821699572,-0.33994380761678267,-2.999146351170179
2017-01-10,1.0028290024028557,-0.09401004613908137,-0.382792448754421,-0.30191828403993703,0.24743217942808649,0.194885864504446,0.0,2.1201478026736664
2017-01-11,0.996875296759032,0.6380462228092743,-0.1601596646900072,0.16698016792768833,0.8252259362709236,0.3615446749085871,-0.7858950906354467,-0.6055419200482692
2017-01-12,0.9936937369447338,1.110570972035907,0.4973425715502966,0.5427651726847227,0.8375522514841416,0.2130846911384543,0.3275945760603083,-2.0017366998950403
2017-01-13,0.9980789810817156,0.3167988574872327,-0.31712143512449,-1.074429478978045,-0.4636078365316765,-0.29045084166676727,-1.1875787403182958,2.486676085964845
2017-01-16,1.0068212376763523,-0.08148474852923693,-0.026492037856318262,0.9386274856336696,0.47466483602884857,0.480034784874217,0.7973999297333556,-2.686312137274227
2017-01-17,0.9974028135837933,0.14821044232022906,0.0,-0.6403695579882185,-0.9557781252099495,0.0,-0.9956773039062838,0.0
2017-01-18,1.0020302220394737,-0.17592008642893786,-0.29649872602193206,-0.12730705476147186,0.5406263731341676,-0.6349008628218522,-1.475294021139717,5.699023770354539
2017-01-19,0.9984376392271593,0.2262443438914019,-0.1112073658305679,0.5146416675693155,1.1264366381101176,0.3054837830091861,0.429689945327949,5.139003054409175
2017-01-20,0.9980202701185129,0.21503634757038537,-0.36516704064697425,-0.021552858174189726,-0.20910158866980222,-0.28025207657850215,0.9414490531601594,2.403847770342993
2017-01-23,1.0065873394423732,-1.0165855054597661,0.4806795295926758,0.28663059995124307,-0.7117182614531314,0.2752667792693897,0.34427063534716584,-9.702658818678078
2017-01-24,0.992623441503307,0.5048344194100052,-0.13819561777351774,-0.7255282930004103,0.05509667264229634,-0.0430242071152831,-1.2900095013476442,1.993071894895504
2017-01-25,0.991888671088954,1.0045856484240057,0.5700110372129474,0.4260479370114645,0.2242059521792905,0.8647674932189098,-0.5454391122936109,-5.947329955095471
2017-01-26,0.9879922344962366,1.4977960574563243,0.7824089277145951,1.8207025407347421,0.4325070755471616,0.9887569844943211,1.4344789531128166,-2.348683670958751
2017-01-27,0.9879922344962366,0.0,0.16144891176970155,0.36066320936656293,1.4102525101581165,-0.020502091472307526,1.8097369801915342,-1.6651276428180206
2017-01-30,0.9964414870533777,0.44753131266164203,-0.035475305941723434,-0.289994302314589,-0.057288130636323764,0.09901734694468534,0.3350605957867625,-0.4703686754145675
2017-01-31,1.0003243236150126,-0.09836539852451365,-0.6103801364986339,-1.1205084026764456,0.0,-0.8315077781717806,-0.5062349326182214,12.28733648496556
2017-02-01,1.0079602854916594,-0.8276643631809133,-0.5359787404064398,-1.254763420442051,0.0,0.01924000585202812,-1.6909097454423816,0.9259230270842744
2017-02-02,0.9832441403899841,1.811647640847469,0.13516657237355734,1.0766111557779068,-0.18145230232397003,0.4961870895870968,0.5605710273063336,-1.5012456625316362
2017-02-03,0.9989123279045138,0.2047818890261066,-0.030311775314628697,-0.27059311880869297,-0.5741009141791875,-0.11430280352092703,-1.219443406583376,1.0160870558459933
2017-02-06,0.9993364789230111,0.07671174184962215,0.9381524974673594,0.20244358349581493,-0.2385582917750373,0.5423835768675112,0.019134131500941898,-8.046940600080966
2017-02-07,0.9982275285652069,0.6875638006406781,-0.09486611704195846,-1.2157276689559682,0.9469812760446672,-0.056826284332189836,0.3092879933942472,3.646304546887791
2017-02-08,1.0042654096527364,-0.37211469911869743,0.18885072610956843,0.34405853143997245,-0.07139690917886687,0.1884049849339764,-0.3474344992772771,-0.7036053167217893
2017-02-09,1.0006272059256704,0.00855353964515082,-0.17893828524897515,-0.05247480959702511,0.658166359221557,0.14504161201251975,0.5119847838105818,1.4171820013527237
2017-02-10,1.0019535921465619,0.10663168924529565,0.5887032322920982,0.8617967160391427,0.17036211492527098,0.5759835870756902,-0.525735440316788,-4.978163356500542
2017-02-13,1.0021379084789488,0.17257602055471555,0.4807001057001825,0.2070743294345645,0.21185779309236263,0.3315679724595899,2.492426446898044,-0.27573283690845996
2017-02-14,1.001675175078754,0.1307776751758416,0.7044669946772553,0.9210614534538752,0.5768827684938138,0.5202197845991074,0.41395837860305207,2.02764336976633
2017-02-15,1.0031391770697793,-0.14480326951941125,0.4519364892977995,-0.0222526037951698,-0.03361608405652028,0.32286593604691216,-1.1314467356245528,-2.9810292032830477
2017-02-16,1.0062179787024828,-0.7688501401983627,0.5240297961814244,0.18790753499178248,1.2313177857407265,0.6376078163912391,1.0343583451484673,11.45251882796443
2017-02-17,0.995557074504443,0.6109070053333943,0.0383767233517629,-0.31108760266636004,0.47022585313445386,-0.07801505141752374,-0.46533214713543325,-1.7543862444632907
2017-02-20,1.0070281236754048,0.4978377228582742,0.020762841182642156,-0.0018771677757767335,-0.3067857438567856,0.40723273278884253,-0.5835895349606046,-2.295922215210233
2017-02-21,0.9931693858353348,0.6518017924770803,0.0,0.6004973092869736,0.46742555530046026,0.0,0.08557974233673882,0.0
2017-02-22,0.998080388631954,0.3226575978951818,0.5767500284577398,1.1825719443275373,-0.7556059540914428,0.46878036819337776,0.6771535647401183,0.696256965184161
2017-02-23,1.0005264110211127,0.21386509747480797,0.15715956889070792,0.25986743056343187,0.9945491128768635,-0.0906982214791352,-0.008102145889621326,1.4693178978214982
2017-02-24,1.0018905297415963,0.14114204061503877,0.16712250802779494,-0.4230477604952876,-0.3598946495489974,-0.42862486950711043,-0.04338627399383954,-0.2555343573770297
2017-02-27,1.0018905297415963,0.0,0.05497009634267691,-1.2035641932235053,-0.6185404357142321,0.16794236257611228,-0.4538732276500479,-2.0495283547082077
2017-02-28,1.0052828575728294,-0.47877179582190843,0.07530433391074176,0.15790918868994197,-0.169610897345307,0.2838146066453717,-0.9130500309323053,5.4054042818229675
2017-03-01,1.0021792182968554,-0.19221268068030373,-0.1209324149768376,0.09930273324536554,-0.7704071944727109,-0.6219819775994839,0.06028810107303606,6.8651771152243635
2017-03-02,0.9953721953356471,0.7455313102474381,1.457366162697049,1.9669782470279173,0.15062622303079198,1.3490799757696736,1.436000671371107,-2.941177338985901
2017-03-03,1.0093372970448609,-0.5147645341154417,-0.5331619302346935,-0.06314740147592701,-0.20364621269878258,-0.7250906900932441,0.883086466054861,-5.821367978126024
2017-03-06,0.9984209355388943,-0.02472199008398679,0.01304688947927346,-0.2670904526682283,-0.7389965010455413,0.1625904642196474,-0.4887903559265938,-7.1972934061700355
2017-03-07,0.9946058063709904,0.740657732427441,-0.24455774861821267,-0.5733590656784582,0.18494081553908082,-0.36741173135885763,-0.46241980133855387,2.554742080261274
2017-03-08,1.0034480778848645,-0.18463654426456033,-0.14116444777344528,0.06471816931776786,0.3593406170447677,-0.26072029825894294,-0.180556171463353,1.868327779566159
2017-03-09,1.0029582590458395,-0.25260799775062015,-0.32989290031611995,0.009776936500593969,0.4273422502216073,0.0620444331211889,-0.46588292548468413,3.580784753204491
